H;TPS;Sisu-Petteri Lehtonen;3;0;0;0;834;-1
H;Lukko;Aleksi Saarela;1;0;0;0;548;0
H;Kärpät;Kasper Soini;2;0;0;0;741;1
H;Sport;Jasper Valtanen;0;0;0;0;0;0
H;HPK;Harri Kainulainen;3;0;0;0;630;0
H;Kärpät;Eemil Erholtz;2;0;0;0;1073;-1
H;KooKoo;Roope Tossavainen;2;0;0;0;234;0
H;Ilves;Jan-Mikael Järvinen;3;0;0;0;877;2
H;TPS;Jesse Pärssinen;0;0;0;0;0;0
H;SaiPa;Juuso Heikkilä;1;0;0;0;957;0
H;JYP;Malte Setkov;2;0;0;0;1026;1
H;HIFK;Atte Joki;3;0;0;0;679;-1
H;Ilves;Iivari Heikkinen;1;0;0;0;99;-1
H;Ässät;Miro Karjalainen;0;0;0;0;0;0
H;Sport;Anton Stråka;2;0;0;0;291;-1
H;SaiPa;Karri Aho;1;0;0;0;414;0
H;Lukko;Lenni Hämäläinen;2;0;0;0;384;0
H;KooKoo;Samuel Valkeejärvi;2;0;0;0;774;-3
H;Sport;Waltteri Toivainen;0;0;0;0;0;0
H;KalPa;Joona Saarelainen;3;0;0;0;696;0
H;Ilves;Erik Borg;3;0;0;0;781;1
H;Pelicans;Onni Lind;0;0;0;0;0;0
H;Lukko;Anton Olsson;2;0;0;0;643;-1
H;Ilves;Jarkko Parikka;3;0;0;0;995;2
H;Sport;Waltteri Koivunen;0;0;0;0;0;0
H;Sport;Eetu Koivunen;0;0;0;0;0;0
H;Kärpät;Eetu Päkkilä;2;0;0;0;1000;-1
H;Jukurit;Sebastian Soini;2;0;0;0;477;0
H;Ässät;Axel Skinnari;0;0;0;0;0;0
H;Jokerit;Patrik Virta;0;0;0;0;0;0
H;Jukurit;Jeremi Tammela;4;0;0;0;716;-4
H;HIFK;Jesper Ahlroth;0;0;0;0;0;0
H;HIFK;Bruno Jalasti;2;0;0;0;762;0
H;HIFK;Sebastian Repo;0;0;0;0;0;0
H;KalPa;Tuukka Korkiakoski;3;0;0;0;461;-1
H;KalPa;Jesper Kotajärvi;0;0;0;0;0;0
H;HIFK;Jake Leschyshyn;3;0;0;0;1083;0
H;Tappara;Juho Järvelä;0;0;0;0;0;0
H;Kärpät;Julius Hermonen;2;0;0;0;734;1
H;SaiPa;Samu Bau;1;0;0;0;949;0
H;SaiPa;Janne Naukkarinen;1;0;0;0;315;0
H;KooKoo;Marcus Davidsson;2;0;0;0;1060;-1
H;TPS;Joona Ikonen;3;0;0;0;796;-1
H;Kärpät;Veeti Ruotsalainen;0;0;0;0;0;0
H;Pelicans;Hannes Häkkilä;3;0;0;0;591;4
H;JYP;Väinö Liikonen;2;0;0;0;951;1
H;HIFK;Lauri Sinivuori;1;0;0;0;23;0
H;Pelicans;Johannes Johannesen;3;0;0;0;842;2
H;JYP;Veeti Väisänen;0;0;0;0;0;0
H;Pelicans;Oskars Batna;3;0;0;0;765;1
H;Kärpät;Nooa Viuhkola;0;0;0;0;0;0
H;Jukurit;Oskari Remes;0;0;0;0;0;0
H;Sport;Miika Koivisto;4;0;0;0;930;-2
H;Jukurit;Natan Gashaw Teshome;0;0;0;0;0;0
H;KalPa;Jesper Piitulainen;3;0;0;0;789;0
H;TPS;Gabriel Chicoine;2;0;0;0;567;-1
H;Kärpät;Rasmus Rissanen;2;0;0;0;1092;0
H;SaiPa;Anze Zezelj;0;0;0;0;0;0
H;HIFK;Anttoni Uronen;3;0;0;0;696;0
H;HIFK;Eelis Uronen;2;0;0;0;468;-2
H;Kärpät;Maxim Korpimäki;0;0;0;0;0;0
H;HIFK;Hannes Tiainen;0;0;0;0;0;0
H;Jokerit;Jesse Liuksiala;0;0;0;0;0;0
H;Tappara;Kasper Kulonummi;1;0;0;0;553;-1
H;KooKoo;Heikki Peipinen;0;0;0;0;0;0
H;TPS;Jeremi Virtanen;3;0;0;0;542;1
H;Jokerit;Jere Henriksson;1;0;0;0;342;0
H;Jokerit;Aleksi Mustonen;2;0;0;0;568;0
